Category Id,HSN/SAC ,Category,CGST,SGST,IGST
2001,"0202,    0203,
      0204, 0205,
      0206, 0207,
      0208, 0209,
      0210",All goods    [other than fresh or chilled] pre-packaged and labelled.,2.50%,2.50%,5%
2002,"0303,    0304,0305, 0306,
      0307, 0308,
      0309",All    goods [other than fresh or chilled] pre-packaged and labelled.,2.50%,2.50%,5%
2003,401,Ultra    High Temperature (UHT) milk,2.50%,2.50%,5%
2004,402,"Milk † and †    cream, † concentrated † or †    containing † added † sugar or † †    other † † sweetening † † matter, † †    including † † skimmed † † milk
      powder, milk food for babies [other than condensed milk]",2.50%,2.50%,5%
2005,403,"Yoghurt;    Cream, kephir and other fermented or acidified milk and † cream, †    whether † or † not †    concentrated † or † containing †    added sugar † or † other †    sweetening † matter † or †    flavored † or † containing
      added fruit, nuts or cocoa",2.50%,2.50%,5%
2006,403,"Curd,    Lassi, Butter milk, pre-packaged and labelled",2.50%,2.50%,5%
2007,404,"Whey, † whether †    or † not † concentrated † or †    containing † added sugar † or †    other † sweetening † matter; †    products † consisting † of natural milk constituents, whether or    not containing added sugar or other sweetening matter, not elsewhere    specified or included",2.50%,2.50%,5%
2008,406,Chena † or †    paneer pre-packaged and labelled,2.50%,2.50%,5%
2009,408,"Birds' † eggs, †    not † in † shell, †    and † egg † yolks, †    fresh, † dried, cooked † by †    steaming † or † by †    boiling † in † water, †    moulded, frozen or otherwise †    preserved, † whether † or †    not † containing
      added sugar or other sweetening matter.",2.50%,2.50%,5%
2010,409,Natural    honey pre-packaged and labelled,2.50%,2.50%,5%
2011,410,"Insects † and †    other † edible † products †    of † animal † origin, †    not
      elsewhere specified or included",2.50%,2.50%,5%
2012,502,"Pigs', † hogs' †    or † boars' † bristles †    and † hair; † badger †    hair † and
      other brush making hair; waste of such bristles or hair.",2.50%,2.50%,5%
2013,504,All    goods [other than fresh or chilled] pre-packaged and labelled.,2.50%,2.50%,5%
2014,505,"Skins    and other parts of birds, with their feathers or down, feathers † † and † †    parts † † of † † feathers † †    (whether † † or † † not † †    with trimmed † † edges) † † and † †    down, † † not † † further † †    worked † † than cleaned, † disinfected †    or † treated † for †    preservation; † powder
      and waste of feathers or parts of feathers",2.50%,2.50%,5%
2015,"0507
      [Except 050790]","Ivory, † † tortoise-shell, † † whalebone † †    and † † whalebone † † hair,
      horns, unworked or simply prepared but not cut to shape; powder and waste    of these products.",2.50%,2.50%,5%
2016,508,"Coral    and similar materials, unworked or simply prepared but not otherwise worked;    shells of molluscs, crustaceans or † †    echinoderms † † and † † cuttle-bone, † † unworked †    or † † simply
      prepared but not cut to shape, powder and waste thereof.",2.50%,2.50%,5%
2017,510,"Ambergris, † castoreum, †    civet † and † musk; cantharides; bile, whether † or †    not † dried; † glands †    and † other † animal †    products used in the preparation of pharmaceutical products,    fresh,
      chilled, frozen or otherwise provisionally preserved.",2.50%,2.50%,5%
2018,511,"Animal    products not elsewhere specified or included; dead
      animals of Chapter 1 or 3, unfit † for    human consumption, other than semen including frozen semen.",2.50%,2.50%,5%
2019,7,"Herb, † bark, †    dry † plant, † dry †    root, † commonly † known †    as
      jaribooti and dry flower",2.50%,2.50%,5%
2020,713,"Dried † † leguminous † † vegetables, † † shelled, † †    whether † † or † † not skinned or split † † pre-packaged and labelled.",2.50%,2.50%,5%
2021,714,"Manioc, † arrowroot, †    salep, † Jerusalem † artichokes, †    sweet potatoes and † similar † roots and tubers with high starch or inulin    content, frozen, whether or not sliced or in the form of pellets pre-packaged    and labelled.",2.50%,2.50%,5%
2022,801,"Cashew † † † nuts, † † †    whether † † or † † not † † †    shelled † † † or † † peeled,
      desiccated coconuts",2.50%,2.50%,5%
2023,802,"Dried    areca nuts, whether or not shelled or peeled",2.50%,2.50%,5%
2024,"0802,
      0813","Dried † chestnuts †    (singhada), † whether † or †    not † shelled † or peeled",2.50%,2.50%,5%
2025,802,"Walnuts,    whether or not shelled",2.50%,2.50%,5%
2026,8,"Dried    makhana, whether or not shelled or peeled pre-packaged and labelled.",2.50%,2.50%,5%
2027,804,"Mangoes    sliced, dried",2.50%,2.50%,5%
2028,806,"Grapes,    dried, and raisins",2.50%,2.50%,5%
2029,811,"Fruit    and nuts, uncooked or cooked by steaming or boiling
      in water, frozen, whether or not containing added sugar or other sweetening    matter",2.50%,2.50%,5%
2030,812,"Fruit † and †    nuts, † provisionally † preserved †    (for † example, † by sulphur dioxide gas, in brine, † in sulphur water or in other    preservative † solutions), † but †    unsuitable † in † that †    state † for
      immediate consumption",2.50%,2.50%,5%
2031,814,"Peel † of †    citrus † fruit † or †    melons † (including † watermelons), frozen, † † dried † †    or † † provisionally † † preserved † †    in † † brine, † † in
      sulphur water or in other preservative solutions",2.50%,2.50%,5%
2032,901,"Coffee † roasted, †    whether † or † not †    decaffeinated coffee
      husks † and † skins; †    coffee † substitutes † containing †    coffee † in any proportion [other    than coffee beans not roasted]",2.50%,2.50%,5%
2033,902,"Tea, † whether †    or † not † flavoured †    [other † than † unprocessed
      green leaves of tea",2.50%,2.50%,5%
2034,903,Mat√©,2.50%,2.50%,5%
2035,904,"Pepper † of †    the † genus † Piper; †    dried † or † crushed †    or † ground
      fruits of the genus Capsicum or of the genus Pimenta",2.50%,2.50%,5%
2036,905,Vanilla,2.50%,2.50%,5%
2037,906,Cinnamon    and cinnamon-tree flowers,2.50%,2.50%,5%
2038,907,"Cloves    (whole fruit, cloves and stems)",2.50%,2.50%,5%
2039,908,"Nutmeg,    mace and cardamoms",2.50%,2.50%,5%
2040,909,"Seeds † † of † †    anise, † † badian, † † fennel, † †    coriander, † † cumin † † or
      caraway; juniper berries [other than of seed quality]",2.50%,2.50%,5%
2041,"0910    [other
      than 0910 11
      10, 0910 30
      10]","Ginger † † † other † † †    than † † † fresh † † † ginger, † † †    saffron, † † † turmeric    (curcuma) † other † than †    fresh † turmeric, † thyme, †    bay † leaves, curry and other    spices",2.50%,2.50%,5%
2042,10,All    goods i.e. cereals pre-packaged and labelled.,2.50%,2.50%,5%
2043,1001,Wheat † and †    meslin pre-packaged and labelled.,2.50%,2.50%,5%
2044,1002,Rye † pre-packaged and labelled.,2.50%,2.50%,5%
2045,1003,Barley † pre-packaged and labelled.,2.50%,2.50%,5%
2046,1004,Oats † pre-packaged and labelled.,2.50%,2.50%,5%
2047,1005,Maize    (corn) pre-packaged and labelled.,2.50%,2.50%,5%
2048,1006,Rice    pre-packaged and labelled.,2.50%,2.50%,5%
2049,1007,Grain    sorghum pre-packaged and labelled.,2.50%,2.50%,5%
2050,1008,"Buckwheat,    millet † and canary seed; other cereals    such as Jawar, † Bajra, † Ragi pre-packaged and labelled.",2.50%,2.50%,5%
2051,1101,Wheat    or meslin flour pre-packaged and labelled.,2.50%,2.50%,5%
2052,1102,"Cereal † flours †    other † than † of †    wheat † or † meslin †    i.e. † maize (corn) flour, Rye    flour, etc. pre-packaged and labelled.",2.50%,2.50%,5%
2053,1103,"Cereal    groats, † meal and † pellets, †    including † suji † and †    dalia pre-packaged and labelled.",2.50%,2.50%,5%
2054,1104,"Cereal † grains † †    otherwise † † worked † † (for † †    example, † † rolled, flaked,    pearled, sliced or kibbled), except †    rice of heading 1006; † germ † of †    cereals, † whole, † rolled, †    flaked † or † ground
      [other than hulled cereal grains]",2.50%,2.50%,5%
2055,1105,"Meal, † powder, †    Flour flakes, † granules † and †    pellets † of potatoes    pre-packaged and labelled.",2.50%,2.50%,5%
2056,1106,"Meal † and †    powder † of † the †    dried † leguminous † vegetables †    of heading † 0713 † (pulses) †    [other than guar † meal 1106 † 10 †    10 and guar gum refined split † †    {0713}], of sago or of roots or tubers of heading 0714 or of the    products of Chapter 8 pre-packaged and labelled.",2.50%,2.50%,5%
2057,713,Guar    gum refined split,2.50%,2.50%,5%
2058,1109    00 00,"Wheat    gluten, whether or not dried",2.50%,2.50%,5%
2059,12,All    goods other than of seed quality,2.50%,2.50%,5%
2060,1201,"Soya † beans, †    whether † or † not †    broken † other † than †    of † seed quality.",2.50%,2.50%,5%
2061,1202,"Ground-nuts,    not roasted or otherwise cooked, whether or
      not shelled or broken other than of seed quality.",2.50%,2.50%,5%
2062,1203,Copra,2.50%,2.50%,5%
2063,1204,"Linseed,    whether or not broken other than of seed quality.",2.50%,2.50%,5%
2064,1205,"Rape    or colza seeds, whether or not broken other than of
      seed quality.",2.50%,2.50%,5%
2065,1206,"Sunflower    seeds, whether or not broken other than of seed
      quality",2.50%,2.50%,5%
2066,1207,"Other † oil seeds †    and † oleaginous † fruits †    (i.e. † Palm † nuts †    and kernels, † cotton † seeds, †    Castor † oil † seeds, †    Sesamum † seeds,
      Mustard † † seeds, † † Saffower † †    (Carthamustinctorius) † † seeds,    Melon † seeds, † Poppy †    seeds, † Ajams, † Mango †    kernel, † Niger seed, † Kokam) †    whether † or † not †    broken, † other † than †    of seed quality",2.50%,2.50%,5%
2067,1208,"Flour † and †    meals † of † oil †    seeds † or † oleaginous †    fruits, † other
      than those of mustard",2.50%,2.50%,5%
2068,1209,Tamarind    seeds meant for any use other than sowing,2.50%,2.50%,5%
2069,1210    20 00,"Hop † cones, †    ground, † powdered † or †    in † the † form †    of † pellets; lupulin",2.50%,2.50%,5%
2070,1211,"Plants    and parts of plants (including † seeds    and fruits), of a kind † used † primarily †    in † perfumery, † in †    pharmacy † or † for insecticidal, fungicidal or similar    purpose, frozen or dried,
      whether or not cut, crushed or powdered",2.50%,2.50%,5%
2071,1212,"Locust † beans, †    seaweeds † and † other †    algae, † sugar † beet †    and sugar † cane, † frozen †    or † dried, † whether †    or † not † ground; †    fruit stones and kernels and other vegetable products (including    unroasted † † † † † † † chicory † † † † † † † roots † † † † † † † of † † † † † † † the † † † † † † † variety Cichoriumintybussativum) † of †    a † kind † used †    primarily † for human    consumption, not elsewhere specified or included",2.50%,2.50%,5%
2072,1301,"Natural † † gums, † †    resins, † † gum-resins † † and † †    oleoresins † † (for
      example, balsams) [other than lac and shellac]",2.50%,2.50%,5%
2073,1301,Compounded    asafoetida commonly known as heeng,2.50%,2.50%,5%
2074,13,Tamarind    Kernel powder,2.50%,2.50%,5%
2075,1401,"Vegetable † materials of a † kind †    used † primarily † for †    plaiting
      (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned,    bleached or dyed cereal straw, and lime bark)",2.50%,2.50%,5%
2076,"1404    [other
      than 1404 90
      10, 1404 90
      40, 1404 90
      50] [1404 90

      60","Vegetable † products †    not † elsewhere † specified †    or † included such as, Cotton    linters, Soap nuts, Hard seeds, pips, hulls and nuts, of a kind used    primarily for carving, † Rudraksha seeds    [other than bidi wrapper leaves (tendu), betel leaves, Indian katha, coconut    shell, unworked",2.50%,2.50%,5%
2077,"1404    or
      3305",Mehendi    paste in cones,2.50%,2.50%,5%
2078,1507,"Soya-bean    oil and its fractions, whether or not refined, but
      not chemically modified",2.50%,2.50%,5%
2079,1508,"Ground-nut † oil †    and † its † fractions, †    whether † or † not †    refined,
      but not chemically modified.",2.50%,2.50%,5%
2080,1509,"Olive    oil and its fractions, whether or not refined, but not
      chemically modified.",2.50%,2.50%,5%
2081,1510,"Other    oils and their fractions, obtained solely from olives, whether † † or † †    not † † refined, † † but † †    not † † chemically † modified, including † blends †    of † these † oils †    or † fractions † with †    oils † or fractions of heading    1509",2.50%,2.50%,5%
2082,1511,"Palm    oil and its fractions, whether or not refined, but not
      chemically modified.",2.50%,2.50%,5%
2083,1512,"Sunflower-seed,    safflower or cotton-seed oil and fractions thereof, † † whether † †    or † † not † † refined, † †    but † † not † † chemically
      modified.",2.50%,2.50%,5%
2084,1513,"Coconut    (copra), palm kernel or babassu oil and fractions
      thereof, † † whether † † or † †    not † † refined, † † but † †    not † † chemically modified.",2.50%,2.50%,5%
2085,1514,"Rape,    colza or mustard oil and † fractions    thereof, whether
      or not refined, but not chemically modified.",2.50%,2.50%,5%
2086,1515,"Other † † fixed † †    vegetable † † or † † microbial † †    fats † † and † † oils
      (including † jojoba † oil) †    and † their † fractions, †    whether † or † not refined, but not chemically modified",2.50%,2.50%,5%
2087,1516,"Vegetable † † fats † †    and † oils † † and † †    their † † fractions, † † partly †    or wholly † † hydrogenated, † † inter-esterified, † † re-esterified † † or elaidinised, † † whether † †    or † † not † † refined, † †    but † † not † † further
      prepared.",2.50%,2.50%,5%
2088,1517,"Edible † mixtures †    or † preparations † of † † † †    vegetable † fats † or vegetable oils or of fractions of    different vegetable fats or
      vegetable oils of this Chapter, other than edible fats or oils or their    fractions of heading 1516",2.50%,2.50%,5%
2089,1518,"Vegetable † † fats † †    and † † oils † † and † †    their † † fractions, † † boiled, oxidised, dehydrated, sulphurised,    blown, polymerised by heat † in † vacuum †    or † in † inert †    gas † or † otherwise †    chemically
      modified, excluding those of heading 1516",2.50%,2.50%,5%
2090,1701,"Beet    sugar, cane sugar",2.50%,2.50%,5%
2091,1701    or 1702,"Jaggery    of all types including Cane Jaggery (gur), Palmyra Jaggery, pre-packaged and    labelled; Khandsari Sugar, pre-packaged and labelled; Rab, pre-packaged and    labelled",2.50%,2.50%,5%
