I,1,"0202, 0203,",All goods [other than fresh or chilled] pre-packaged and labelled.,2.50%,2.50%,5%,
,,"0204, 0205,",,,,,
,,"0206, 0207,",,,,,
,,"0208, 0209,",,,,,
,,210,,,,,
I,2,"0303, 0304,0305, 0306,",All goods [other than fresh or chilled] pre-packaged and labelled.,2.50%,2.50%,5%,
,,"0307, 0308,",,,,,
,,309,,,,,
I,3,,[Omitted],,,,
I,4,,[Omitted],,,,
I,5,,[Omitted,,,,
I,6,,[Omitted],,,,
I,7,401,Ultra High Temperature (UHT) milk,2.50%,2.50%,5%,
I,8,402,"Milk  and  cream,  concentrated  or  containing  added  sugar or   other   sweetening   matter,   including   skimmed   milk",2.50%,2.50%,5%,
,,,"powder, milk food for babies [other than condensed milk]",,,,
I,9,403,"Yoghurt; Cream, kephir and other fermented or acidified milk and  cream,  whether  or  not  concentrated  or  containing  added sugar  or  other  sweetening  matter  or  flavored  or  containing",2.50%,2.50%,5%,
,,,"added fruit, nuts or cocoa",,,,
I,9A,403,"Curd, Lassi, Butter milk, pre-packaged and labelled",2.50%,2.50%,5%,
I,10,404,"Whey,  whether  or  not  concentrated  or  containing  added sugar  or  other  sweetening  matter;  products  consisting  of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",2.50%,2.50%,5%,
I,11,406,Chena  or  paneer pre-packaged and labelled,2.50%,2.50%,5%,
I,12,408,"Birds'  eggs,  not  in  shell,  and  egg  yolks,  fresh,  dried, cooked  by  steaming  or  by  boiling  in  water,  moulded, frozen or otherwise  preserved,  whether  or  not  containing",2.50%,2.50%,5%,
,,,added sugar or other sweetening matter.,,,,
I,13,409,Natural honey pre-packaged and labelled,2.50%,2.50%,5%,
I,14,410,"Insects  and  other  edible  products  of  animal  origin,  not",2.50%,2.50%,5%,
,,,elsewhere specified or included,,,,
I,15,502,"Pigs',  hogs'  or  boars'  bristles  and  hair;  badger  hair  and",2.50%,2.50%,5%,
,,,other brush making hair; waste of such bristles or hair.,,,,
I,16,504,All goods [other than fresh or chilled] pre-packaged and labelled.,2.50%,2.50%,5%,
I,17,505,"Skins and other parts of birds, with their feathers or down, feathers   and   parts   of   feathers   (whether   or   not   with trimmed   edges)   and   down,   not   further   worked   than cleaned,  disinfected  or  treated  for  preservation;  powder",2.50%,2.50%,5%,
